Country;ISO3166_alpha3;pop;Years
Belarus;BLR;9.123451;1973
Belarus;BLR;9.188463;1974
Belarus;BLR;9.25278;1975
Belarus;BLR;9.316324;1976
Belarus;BLR;9.378923;1977
Belarus;BLR;9.441415;1978
Belarus;BLR;9.504864;1979
Belarus;BLR;9.569847;1980
Belarus;BLR;9.636152;1981
Belarus;BLR;9.703088;1982
Belarus;BLR;9.770125;1983
Belarus;BLR;9.836582;1984
Belarus;BLR;9.901493;1985
Belarus;BLR;9.965178;1986
Belarus;BLR;10.02647;1987
Belarus;BLR;10.081209;1988
Belarus;BLR;10.124;1989
Belarus;BLR;10.151135;1990
Belarus;BLR;10.160785;1991
Belarus;BLR;10.154338;1992
Belarus;BLR;10.135133;1993
Belarus;BLR;10.10828;1994
Belarus;BLR;10.077606;1995
Belarus;BLR;10.044854;1996
Belarus;BLR;10.009393;1997
Belarus;BLR;9.969986;1998
Belarus;BLR;9.92444;1999
Belarus;BLR;9.871635;2000
Belarus;BLR;9.811399;2001
Belarus;BLR;9.745932;2002
Belarus;BLR;9.679235;2003
Belarus;BLR;9.616628;2004
Belarus;BLR;9.562083;2005
Belarus;BLR;9.516884;2006
Belarus;BLR;9.480514;2007
Belarus;BLR;9.452855;2008
Belarus;BLR;9.433159;2009
Belarus;BLR;9.420576;2010
Belarus;BLR;9.415316;2011
Belarus;BLR;9.417045;2012
Belarus;BLR;9.423502;2013
Belarus;BLR;9.431742;2014
Belarus;BLR;9.439424;2015
Belarus;BLR;9.445638;2016
Belarus;BLR;9.450233;2017
Belarus;BLR;9.452615;2018
Belarus;BLR;9.452409;2019
Belgium;BEL;9.443948;1965
Belgium;BEL;9.488759;1966
Belgium;BEL;9.529046;1967
Belgium;BEL;9.565591;1968
Belgium;BEL;9.599651;1969
Belgium;BEL;9.632179;1970
Belgium;BEL;9.663323;1971
Belgium;BEL;9.692845;1972
Belgium;BEL;9.72075;1973
Belgium;BEL;9.747023;1974
Belgium;BEL;9.771582;1975
Belgium;BEL;9.794771;1976
Belgium;BEL;9.816693;1977
Belgium;BEL;9.836812;1978
Belgium;BEL;9.854372;1979
Belgium;BEL;9.868999;1980
Belgium;BEL;9.880594;1981
Belgium;BEL;9.889819;1982
Belgium;BEL;9.897877;1983
Belgium;BEL;9.90637;1984
Belgium;BEL;9.916577;1985
Belgium;BEL;9.928539;1986
Belgium;BEL;9.942281;1987
Belgium;BEL;9.959011;1988
Belgium;BEL;9.980175;1989
Belgium;BEL;10.006545;1990
Belgium;BEL;10.03945;1991
Belgium;BEL;10.078098;1992
Belgium;BEL;10.118684;1993
Belgium;BEL;10.155909;1994
Belgium;BEL;10.186304;1995
Belgium;BEL;10.208265;1996
Belgium;BEL;10.223785;1997
Belgium;BEL;10.237298;1998
Belgium;BEL;10.255161;1999
Belgium;BEL;10.282046;2000
Belgium;BEL;10.319026;2001
Belgium;BEL;10.364879;2002
Belgium;BEL;10.419029;2003
Belgium;BEL;10.480118;2004
Belgium;BEL;10.546885;2005
Belgium;BEL;10.619484;2006
Belgium;BEL;10.697576;2007
Belgium;BEL;10.778764;2008
Belgium;BEL;10.859934;2009
Belgium;BEL;10.938735;2010
Belgium;BEL;11.01386;2011
Belgium;BEL;11.085355;2012
Belgium;BEL;11.154008;2013
Belgium;BEL;11.221225;2014
Belgium;BEL;11.287931;2015
Belgium;BEL;11.354407;2016
Belgium;BEL;11.419752;2017
Belgium;BEL;11.48218;2018
Belgium;BEL;11.539326;2019
Bolivia;BOL;4.484004;1970
Bolivia;BOL;4.581752;1971
Bolivia;BOL;4.682392;1972
Bolivia;BOL;4.785916;1973
Bolivia;BOL;4.892294;1974
Bolivia;BOL;5.001413;1975
Bolivia;BOL;5.113458;1976
Bolivia;BOL;5.228253;1977
Bolivia;BOL;5.344946;1978
Bolivia;BOL;5.462413;1979
Bolivia;BOL;5.579932;1980
Bolivia;BOL;5.697098;1981
Bolivia;BOL;5.814344;1982
Bolivia;BOL;5.932812;1983
Bolivia;BOL;6.054126;1984
Bolivia;BOL;6.17946;1985
Bolivia;BOL;6.309129;1986
Bolivia;BOL;6.442824;1987
Bolivia;BOL;6.580318;1988
Bolivia;BOL;6.721117;1989
Bolivia;BOL;6.864839;1990
Bolivia;BOL;7.011456;1991
Bolivia;BOL;7.160917;1992
Bolivia;BOL;7.312857;1993
Bolivia;BOL;7.466792;1994
Bolivia;BOL;7.622334;1995
Bolivia;BOL;7.779268;1996
Bolivia;BOL;7.937453;1997
Bolivia;BOL;8.096761;1998
Bolivia;BOL;8.257066;1999
Bolivia;BOL;8.41827;2000
Bolivia;BOL;8.580244;2001
Bolivia;BOL;8.742822;2002
Bolivia;BOL;8.90582;2003
Bolivia;BOL;9.069044;2004
Bolivia;BOL;9.232301;2005
Bolivia;BOL;9.395449;2006
Bolivia;BOL;9.558438;2007
Bolivia;BOL;9.721457;2008
Bolivia;BOL;9.88479;2009
Bolivia;BOL;10.048597;2010
Bolivia;BOL;10.212951;2011
Bolivia;BOL;10.377677;2012
Bolivia;BOL;10.542375;2013
Bolivia;BOL;10.706517;2014
Bolivia;BOL;10.869732;2015
Bolivia;BOL;11.031822;2016
Bolivia;BOL;11.192853;2017
Bolivia;BOL;11.35314;2018
Bolivia;BOL;11.513102;2019
Brazil;BRA;83.373533;1965
Brazil;BRA;85.696502;1966
Brazil;BRA;88.035815;1967
Brazil;BRA;90.387079;1968
Brazil;BRA;92.746607;1969
Brazil;BRA;95.113265;1970
Brazil;BRA;97.482928;1971
Brazil;BRA;99.859388;1972
Brazil;BRA;102.259497;1973
Brazil;BRA;104.706193;1974
Brazil;BRA;107.216209;1975
Brazil;BRA;109.790943;1976
Brazil;BRA;112.425392;1977
Brazil;BRA;115.121158;1978
Brazil;BRA;117.878412;1979
Brazil;BRA;120.694012;1980
Brazil;BRA;123.570327;1981
Brazil;BRA;126.498322;1982
Brazil;BRA;129.448815;1983
Brazil;BRA;132.383569;1984
Brazil;BRA;135.274083;1985
Brazil;BRA;138.108915;1986
Brazil;BRA;140.891606;1987
Brazil;BRA;143.627505;1988
Brazil;BRA;146.328305;1989
Brazil;BRA;149.003225;1990
Brazil;BRA;151.648007;1991
Brazil;BRA;154.259382;1992
Brazil;BRA;156.849086;1993
Brazil;BRA;159.432717;1994
Brazil;BRA;162.019889;1995
Brazil;BRA;164.614682;1996
Brazil;BRA;167.209046;1997
Brazil;BRA;169.785253;1998
Brazil;BRA;172.318674;1999
Brazil;BRA;174.790339;2000
Brazil;BRA;177.196051;2001
Brazil;BRA;179.537523;2002
Brazil;BRA;181.809244;2003
Brazil;BRA;184.006479;2004
Brazil;BRA;186.127108;2005
Brazil;BRA;188.167353;2006
Brazil;BRA;190.130445;2007
Brazil;BRA;192.030362;2008
Brazil;BRA;193.886505;2009
Brazil;BRA;195.713637;2010
Brazil;BRA;197.514541;2011
Brazil;BRA;199.287292;2012
Brazil;BRA;201.035904;2013
Brazil;BRA;202.763744;2014
Brazil;BRA;204.471759;2015
Brazil;BRA;206.163056;2016
Brazil;BRA;207.833825;2017
Brazil;BRA;209.46932;2018
Brazil;BRA;211.049519;2019
Brunei;BRN;0.10239;1965
Brunei;BRN;0.107274;1966
Brunei;BRN;0.112446;1967
Brunei;BRN;0.117897;1968
Brunei;BRN;0.123596;1969
Brunei;BRN;0.12953;1970
Brunei;BRN;0.135672;1971
Brunei;BRN;0.142015;1972
Brunei;BRN;0.148516;1973
Brunei;BRN;0.155069;1974
Brunei;BRN;0.161635;1975
Brunei;BRN;0.168173;1976
Brunei;BRN;0.174717;1977
Brunei;BRN;0.181201;1978
Brunei;BRN;0.187596;1979
Brunei;BRN;0.19388;1980
Brunei;BRN;0.200027;1981
Brunei;BRN;0.206064;1982
Brunei;BRN;0.212073;1983
Brunei;BRN;0.218176;1984
Brunei;BRN;0.22444;1985
Brunei;BRN;0.230917;1986
Brunei;BRN;0.237565;1987
Brunei;BRN;0.244405;1988
